negara,latitude,longitude,positif,sembuh,meninggal
Saint Kitts and Nevis,17.357822,-62.782998,15,15,0
Saint Lucia,13.9094,-60.9789,19,18,0
Saint Vincent and the Grenadines,12.9843,-61.2872,29,26,0
San Marino,43.9424,12.4578,696,610,42
Sao Tome and Principe,0.18636,6.613081,698,203,12
Saudi Arabia,24.0,45.0,157612,101130,1267
Senegal,14.4974,-14.4524,5888,3919,84
Serbia,44.0165,21.0059,12894,11947,261
Seychelles,-4.6796,55.492,11,11,0
Sierra Leone,8.460555000000001,-11.779889,1327,788,55
Singapore,1.2833,103.8333,42095,34942,26
Slovakia,48.669,19.699,1587,1447,28
Slovenia,46.1512,14.9955,1520,1376,109
Somalia,5.1521,46.1996,2779,782,90
South Africa,-30.5595,22.9375,97302,51608,1930
South Sudan,6.8770000000000024,31.307,1892,169,34
Spain,40.0,-4.0,246272,150376,28323
Sri Lanka,7.0,81.0,1950,1498,11
Sudan,12.8628,30.2176,8580,3325,521
Suriname,3.9193,-56.0278,314,106,8
Sweden,63.0,16.0,56043,0,5053
Switzerland,46.8182,8.2275,31292,29000,1956
Syria,34.802075,38.99681500000001,204,83,7
Taiwan*,23.7,121.0,446,434,7
Tajikistan,38.861034000000004,71.276093,5457,3995,52
Tanzania,-6.369,34.8888,509,183,21
Thailand,15.0,101.0,3148,3018,58
Timor-Leste,-8.874217,125.727539,24,24,0
Togo,8.6195,0.8248,569,375,13
Trinidad and Tobago,10.6918,-61.2225,123,109,8
Tunisia,34.0,9.0,1157,1020,50
Turkey,38.9637,35.2433,187685,160240,4950
US,37.0902,-95.7129,2279879,622133,119969
Uganda,1.0,32.0,770,578,0
Ukraine,48.3794,31.1656,37361,17078,1012
United Arab Emirates,24.0,54.0,44925,32415,302
United Kingdom,24.54817272727273,-43.902245454545444,305803,1319,42717
Uruguay,-32.5228,-55.7658,876,814,25
Uzbekistan,41.3775,64.5853,6315,4377,19
Venezuela,6.4238,-66.5897,3917,835,33
Vietnam,16.0,108.0,349,327,0
West Bank and Gaza,31.9522,35.2332,833,439,3
Western Sahara,24.2155,-12.8858,9,8,1
Yemen,15.552726999999999,48.516388,941,347,256
Zambia,-15.4167,28.2833,1430,1194,11
Zimbabwe,-20.0,30.0,489,64,6
